ID,Internationals
1,Albania
2,Algeria
3,Andorra
4,Angola
5,Antigua & Barbuda
6,Argentina
7,Argentina O
8,Argentina U20
9,Armenia
10,Australia
11,Austria
12,Austria U21
13,Azerbaijan
14,Basque Country
15,Belarus
16,Belarus U21
17,Belgium
18,Belgium U19
19,Belgium U21
20,Benin
21,Bermuda
22,Bolivia
23,Bolivia U20
24,Bosnia and Herzegovina
25,Brazil
26,Brazil O
27,Brazil U20
28,Bulgaria
29,Burkina Faso
30,Cameroon
31,Canada
32,Cape Verde
33,Catalonia
34,Chad
35,Chile
36,Chile U23
37,Colombia
38,Colombia U20
39,Comoros
40,Congo
41,Costa Rica
42,Croatia
43,Croatia U21
44,Curaçao
45,Cyprus
46,Cyprus U21
47,Czech Republic
48,Czech Republic U21
49,Denmark
50,Denmark U17
51,Denmark U20
52,Denmark U21
53,Dominican Republic
54,Ecuador
55,Ecuador U20
56,Egypt
57,El Salvador
58,England
59,England U17
60,England U18
61,England U19
62,England U20
63,England U21
64,Estonia
65,Ethiopia
66,Faroe Islands
67,Finland
68,Finland U21
69,France
70,France O
71,France U19
72,France U20
73,France U21
74,French Guiana
75,Gabon
76,Gambia
77,Georgia
78,Georgia U20
79,Georgia U21
80,Germany
81,Germany O
82,Germany U19
83,Germany U20
84,Germany U21
85,Ghana
86,Greece
87,Greece U21
88,Guadeloupe
89,Guinea
90,Guinea O
91,Guinea-Bissau
92,Guyana
93,Haiti
94,Honduras
95,Hungary
96,Hungary U20
97,Iceland
98,Iceland U21
99,Iran
100,Iraq
101,Iraque
102,Ireland
103,Ireland U19
104,Ireland U21
105,Israel
106,Italy
107,Italy U17
108,Italy U19
109,Italy U20
110,Italy U21
111,Ivory Coast
112,Jamaica
113,Japan
114,Japan U19
115,Japan U20
116,Jordania
117,Kazakhstan
118,Kenya
119,Kosovo
120,Kosovo U21
121,Latvia
122,Liechtenstein
123,Lithuanian
124,Luxembourg
125,Madagascar
126,Malawi
127,Mali
128,Mali O
129,Mali U20
130,Martinique
131,Mauritania
132,Mexico
133,Mexico O
134,Mexico U23
135,Moldova
136,Montenegro
137,Morocco
138,Morocco O
139,Mozambique
140,Netherlands
141,Netherlands U19
142,Netherlands U21
143,New Zealand
144,New Zealand O
145,New Zealand U20
146,Nicaragua
147,Nigeria
148,Nigeria U20
149,North Macedonia
150,North Macedonia U21
151,Northern Ireland
152,Norway
153,Norway U19
154,Norway U21
155,Palestine
156,Panama
157,Panama U20
158,Paraguay
159,Paraguay O
160,Paraguay U20
161,Peru
162,Poland
163,Poland U17
164,Poland U20
165,Poland U21
166,Portugal
167,Portugal U17
168,Portugal U18
169,Portugal U19
170,Portugal U20
171,Portugal U21
172,Qatar
173,Romania
174,Romania U19
175,Romania U21
176,Russia
177,Saudi Arabia
178,Saudi Arabia U23
179,Scotland
180,Scotland U17
181,Senegal
182,Senegal U20
183,Serbia
184,Serbia U19
185,Sierra Leone
186,Slovakia
187,Slovakia U17
188,Slovakia U21
189,Slovenia
190,South Africa
191,South Africa U20
192,South Korea
193,South Korea U20
194,South Korea U23
195,Spain
196,Spain O
197,Spain U17
198,Spain U19
199,Spain U21
200,Suriname
201,Sweden
202,Sweden U17
203,Sweden U19
204,Sweden U21
205,Switzerland
206,Switzerland U21
207,Syria
208,Tanzania
209,Thailand U17
210,Togo
211,Tunisia
212,Turkey
213,Turkey U19
214,USA
215,USA O
216,USA U19
217,USA U20
218,Uganda
219,Ukraine
220,Uruguay
221,Uruguay U20
222,Uzbekistan
223,Uzbekistan O
224,Venezuela
225,Venezuela U20
226,Venezuela U23
227,Wales
228,Wales U21
229,Zambia
230,Zimbabwe
